id,year,season,grade,imgur,answer
69,2009,m,10,ZkTVtVx,C
70,2009,m,10,1pfXbZ0,B
71,2009,m,10,NzhhrgQ,A
72,2009,m,10,K6PjtnX,C
73,2009,m,10,purXCGz,B
74,2009,m,10,6TTLrBq,A
75,2009,m,10,QyT8TRU,A
76,2009,m,10,TaQ7mEq,A
77,2009,m,10,edn4qHL,D
78,2009,m,10,Nd6wRlJ,B
79,2009,m,10,l4aPp4M,D
80,2009,m,10,dA1h1zx,B
81,2009,m,10,QwTJUGb,B
82,2009,m,10,yothOxX,D
83,2009,m,10,Cn8ikrx,C
84,2009,m,10,AvygPad,D
85,2009,m,10,qRzllL0,B
86,2009,m,10,LIYqh7Y,C
87,2009,m,10,q27s92p,D
88,2009,m,10,lEfegSv,C
89,2009,m,10,loGu9W6,A
90,2009,m,10,KvgXgX9,C
91,2009,m,10,hgefWrO,B
92,2009,m,10,PZtSRoS,B
93,2009,m,10,vyHRg5V,A
94,2009,m,10,VxiYPFZ,A
95,2009,m,10,45fBIvA,C
96,2009,m,10,27tDprZ,B
97,2010,m,10,hlOIbQf,D
98,2010,m,10,rohpYIA,D
99,2010,m,10,Z2fIxpn,C
100,2010,m,10,LDcykcj,B
101,2010,m,10,bdsj3w7,A
102,2010,m,10,dH4qcdc,C
103,2010,m,10,75ydpfA,C
104,2010,m,10,doxxsgr,B
105,2010,m,10,MXuo5X7,C
106,2010,m,10,XzAcWix,D
107,2010,m,10,wvnNs4S,A
108,2010,m,10,Xvg1Z0B,B
109,2010,m,10,HzvjBgi,C
110,2010,m,10,jczQNtH,A
111,2010,m,10,LL3qnJ9,B
112,2010,m,10,2TuKuIw,C
113,2010,m,10,9dDZ08K,A
114,2010,m,10,U7R04lF,C
115,2010,m,10,s8BBLDu,A
116,2010,m,10,EgmoYXl,C
117,2010,m,10,pIG8GV0,B
118,2010,m,10,oqqSxIH,B
119,2010,m,10,89WUCoK,A
120,2010,m,10,fVdtCxK,D
121,2010,m,10,zTJy5eI,A
122,2010,m,10,GwYJqBk,D
123,2010,m,10,w4ySBZL,C
124,2010,m,10,UVhvDe5,B
125,2010,m,10,1SWljQd,A
126,2010,m,10,LF2ko6M,B
127,2010,m,10,PgrACha,D
128,2010,m,10,YliqgXe,D
129,2011,m,10,cOPBMbo,A
130,2011,m,10,ln4q9OS,A
131,2011,m,10,7A7xqgt,C
132,2011,m,10,T2IDWb2,B
133,2011,m,10,PlgwGbM,C
134,2011,m,10,49bPTun,A
135,2011,m,10,lRUxdT5,C
136,2011,m,10,jjNK3bH,C
137,2011,m,10,SNXK4f3,A
138,2011,m,10,kK2o0cF,D
139,2011,m,10,xAgZ5Jc,B
140,2011,m,10,WOiGLkU,B
141,2011,m,10,LdDOGsG,C
142,2011,m,10,jDLUA7T,C
143,2011,m,10,AzFR0he,B
144,2011,m,10,PU3zTfB,A
145,2011,m,10,ogl1E2r,B
146,2011,m,10,SkGiZ3m,A
147,2011,m,10,bIgHViN,B
148,2011,m,10,FT8FJRV,D
149,2011,m,10,X0ovWrD,D
150,2011,m,10,lNT9t9p,D
151,2011,m,10,VsZ5MPW,C
152,2011,m,10,pZzheCx,B
153,2011,m,10,exF3dPp,B
154,2011,m,10,uS0Zvf0,C
155,2011,m,10,tXxuaqV,C
156,2011,m,10,9XXnlQo,D
157,2011,m,10,44URCOK,B
158,2011,m,10,tzzvTql,C
159,2011,m,10,fbIIqT8,C
160,2011,m,10,lFqV6jS,A
161,2012,m,10,4JcJNnr,A
162,2012,m,10,NHBVsic,B
163,2012,m,10,Aom804P,B
164,2012,m,10,QeSHXW6,C
165,2012,m,10,VkD0TNT,D
166,2012,m,10,8RIQ1sS,C
167,2012,m,10,19RlBIk,B
168,2012,m,10,KW0l11b,B
169,2012,m,10,pvGN0MX,A
170,2012,m,10,5vwrLq2,B
171,2012,m,10,CrULPZT,C
172,2012,m,10,eZSedRQ,C
173,2012,m,10,Ke6kv1L,B
174,2012,m,10,MblFpm4,D
175,2012,m,10,UmAaQcm,B
176,2012,m,10,MV8af2h,A
177,2012,m,10,DvgnAN0,C
178,2012,m,10,mVUKD81,D
179,2012,m,10,ZtD3kq3,D
180,2012,m,10,zdlWnUo,C
181,2012,m,10,2EtzEbI,C
182,2012,m,10,6MrIAN7,C
183,2012,m,10,UsHj3y4,A
184,2012,m,10,E1qygib,D
185,2012,m,10,Ui117Qb,B
186,2012,m,10,F9lCOYG,A
187,2012,m,10,CBGpRqD,C
188,2012,m,10,e1NmzpF,D
189,2012,m,10,yutexoY,B
190,2012,m,10,nYBxLwD,C
191,2012,m,10,zubb0Qn,C
192,2012,m,10,niozoGo,D
193,2007,n,10,g7JBB2d,C
194,2007,n,10,nmF7kL1,B
195,2007,n,10,5mhCIy4,A
196,2007,n,10,dhgiDN8,A
197,2007,n,10,hacAEJV,B
198,2007,n,10,wQ5iVtH,C
199,2007,n,10,Y2aSUoy,D
200,2007,n,10,ZqpSDr6,B
201,2007,n,10,mGdmT38,A
202,2007,n,10,0NK6Sus,C
203,2007,n,10,iGiBpc8,D
204,2007,n,10,gmf1TZN,D
205,2007,n,10,f3uLdB9,A
206,2007,n,10,UlM79hz,B
207,2007,n,10,FG7NDOD,B
208,2007,n,10,OPa7Fdt,A
209,2007,n,10,woIDw6C,C
210,2007,n,10,VfL8TJn,A
211,2007,n,10,RGOnGkn,C
212,2007,n,10,8scZZCT,C
213,2007,n,10,SKNgfK6,B
214,2007,n,10,A78SaBo,C
215,2007,n,10,O8K02jZ,C
216,2007,n,10,DDnEDxp,B
217,2007,n,10,DPMAOWw,B
218,2007,n,10,OpkrnVV,A
219,2007,n,10,HBsiw5S,B
220,2007,n,10,XzKlBvX,A
221,2007,n,10,ujRqHqX,D
222,2007,n,10,Z1C3n6J,C
223,2007,n,10,Jkggupn,A
224,2007,n,10,m7Yq5yt,D
225,2008,n,10,9SpKo2r,A
226,2008,n,10,aCP6Ae5,B
227,2008,n,10,t2PaXcU,B
228,2008,n,10,oUjqtWr,D
229,2008,n,10,PIRJD5r,A
230,2008,n,10,akdo1mN,C
231,2008,n,10,D2i55ck,B
232,2008,n,10,fUgGR43,C
233,2008,n,10,CvjH4dk,B
234,2008,n,10,Gh0uUYE,B
235,2008,n,10,nRsSgNc,D
236,2008,n,10,bSmGSmd,C
237,2008,n,10,ZgkEuvb,A
238,2008,n,10,IFsAaVx,B
239,2008,n,10,6DlXklQ,D
240,2008,n,10,k2xgvm9,A
241,2008,n,10,aelnyNw,A
242,2008,n,10,xtQRJB8,C
243,2008,n,10,9gIdQ6j,A
244,2008,n,10,lumVHKN,C
245,2008,n,10,wO4WJ6d,D
246,2008,n,10,G5LodwI,C
247,2008,n,10,BLOQotL,D
248,2008,n,10,X57QQrG,C
249,2008,n,10,Q9kI5Vi,B
250,2008,n,10,ue5w4F2,D
251,2008,n,10,O5jz2pZ,D
252,2008,n,10,K9AqCPM,B
253,2008,n,10,v9jvHKo,D
254,2008,n,10,3djNmV4,D
255,2008,n,10,594qTYz,B
256,2008,n,10,rp4wcWO,D
257,2009,n,10,nKSNxy8,A
258,2009,n,10,RS72io6,D
259,2009,n,10,SKsezbH,B
260,2009,n,10,DNngdtg,D
261,2009,n,10,9r2rVAu,A
262,2009,n,10,ldQQ7yh,B
263,2009,n,10,nxXQ8k5,B
264,2009,n,10,WdZr3ZN,C
265,2009,n,10,2VCLTEt,C
266,2009,n,10,DXuY1u8,A
267,2009,n,10,swDQ86N,A
268,2009,n,10,wzjEzCM,A
269,2009,n,10,7XacIlk,B
270,2009,n,10,PKnevhf,C
271,2009,n,10,k1J82oG,D
272,2009,n,10,tlfZg9W,C
273,2009,n,10,9RGWSYO,C
274,2009,n,10,3wg9m7B,C
275,2009,n,10,DwG5p16,B
276,2009,n,10,q1iCky9,D
277,2009,n,10,ICL8k2O,B
278,2009,n,10,GvhHqFY,B
279,2009,n,10,mMx2dkW,D
280,2009,n,10,a0gjSha,B
281,2009,n,10,ArehZbm,A
282,2009,n,10,lfMfHYZ,B
283,2009,n,10,WxXIM2x,A
284,2009,n,10,OeHtkP2,D
285,2009,n,10,9RdEeDN,C
286,2009,n,10,1ucMSKO,A
287,2009,n,10,n1OFpuj,B
288,2009,n,10,pOiPyPT,C
289,2010,n,10,8H1Zdnc,A
290,2010,n,10,CrOFoyJ,B
291,2010,n,10,ylYry4n,D
292,2010,n,10,badRRgu,A
293,2010,n,10,gyAiAd7,D
294,2010,n,10,GCNInFd,A
295,2010,n,10,06RPwOS,C
296,2010,n,10,RP4gsBn,C
297,2010,n,10,om4asKe,C
298,2010,n,10,bDMZH2d,A
299,2010,n,10,ZP7o2kn,D
300,2010,n,10,eejR8Ps,C
301,2010,n,10,pvpA2kp,B
302,2010,n,10,wRpa7Yl,A
303,2010,n,10,Oky9gsf,D
304,2010,n,10,g0RJh65,A
305,2010,n,10,LCHPWAI,B
306,2010,n,10,RQwlEtt,D
307,2010,n,10,uE6mEwI,C
308,2010,n,10,SWDl2Ke,C
309,2010,n,10,RRsi9Uy,B
310,2010,n,10,lic3FBo,A
311,2010,n,10,9D1wAXd,A
312,2010,n,10,i3kc7di,B
313,2010,n,10,kT7rera,D
314,2010,n,10,pWmgrV4,B
315,2010,n,10,7OAuyvj,B
316,2010,n,10,8ORmTaq,C
317,2010,n,10,39NQysa,B
318,2010,n,10,1iTUCZC,D
319,2010,n,10,pLpt3A5,A
320,2010,n,10,Y6gbn23,C
321,2011,n,10,uwv6V9o,D
322,2011,n,10,5UZWxVf,B
323,2011,n,10,2VSPmbo,B
324,2011,n,10,Ij5n4ku,D
325,2011,n,10,dqyKjYS,B
326,2011,n,10,TdYEa2k,D
327,2011,n,10,OBbFpfg,C
328,2011,n,10,2fp1fPZ,A
329,2011,n,10,ZwvBB6L,B
330,2011,n,10,IFwnL2N,A
331,2011,n,10,5W7wbPk,A
332,2011,n,10,qeDUi8n,B
333,2011,n,10,x9Z6q6R,B
334,2011,n,10,Mq7Rbik,D
335,2011,n,10,DhSc8LQ,A
336,2011,n,10,uNDxnQL,A
337,2011,n,10,n8i9qIc,B
338,2011,n,10,g9amk57,C
339,2011,n,10,60La8zN,D
340,2011,n,10,c9792HX,C
341,2011,n,10,dtkHdL3,B
342,2011,n,10,qLsjL0C,D
343,2011,n,10,fcjlX9T,B
344,2011,n,10,Z0f5562,C
345,2011,n,10,kRow5WO,D
346,2011,n,10,jHcwLHA,D
347,2011,n,10,6DUPl5G,C
348,2011,n,10,WfVGt6s,A
349,2011,n,10,UKebf5J,C
350,2011,n,10,tVahZQQ,A
351,2011,n,10,Jgv9cZT,A
352,2011,n,10,FSl0i1o,D
353,2007,s,10,3dxd8sd,A
354,2007,s,10,Nk8jyiv,B
355,2007,s,10,yDMJqQA,A
356,2007,s,10,65wOJVx,D
357,2007,s,10,SP225pR,C
358,2007,s,10,woX3ULE,C
359,2007,s,10,QMkloo5,B
360,2007,s,10,gEucXB3,B
361,2007,s,10,8brVxaH,A
362,2007,s,10,8IAQSZA,B
363,2007,s,10,cLDCLM0,C
364,2007,s,10,PwDfNPR,C
365,2007,s,10,yUlS3A2,A
366,2007,s,10,xQp2t1J,C
367,2007,s,10,3D1Q51Z,B
368,2007,s,10,zL5DPGL,A
369,2007,s,10,LMEgiRH,B
370,2007,s,10,GH39M5e,C
371,2007,s,10,msuFinw,B
372,2007,s,10,vggb6cA,C
373,2007,s,10,bVuLOZi,C
374,2007,s,10,FqaTwqP,D
375,2007,s,10,6MbqhUb,C
376,2007,s,10,IfkU0nj,C
377,2007,s,10,bGfhmrk,B
378,2007,s,10,SgfR78B,A
379,2007,s,10,wG7NEQI,A
380,2007,s,10,71dGx3o,B
381,2007,s,10,SHmJ7s7,A
382,2007,s,10,5YSC4tL,B
383,2007,s,10,oCsbw9v,C
384,2007,s,10,hVIhvmX,B
385,2007,s,3,8JnWsct,A
386,2007,s,3,Cg1cSWu,D
387,2007,s,3,JI5HKj3,B
388,2007,s,3,ldOgrol,D
389,2007,s,3,vRcg5zX,C
390,2007,s,3,nhm07iY,D
391,2007,s,3,XFYmUeT,A
392,2007,s,3,zNLce3Q,D
393,2007,s,3,1ob5s5Y,C
394,2007,s,3,n00mNWm,B
395,2007,s,3,onrvcmR,D
396,2007,s,3,C3OL8dA,B
397,2007,s,3,9Be8gqg,D
398,2007,s,3,T53b66o,A
399,2007,s,3,bnMtXtW,C
400,2007,s,3,yQLM9MY,A
401,2007,s,3,iYCZgXY,D
402,2007,s,3,O0VRWw2,A
403,2007,s,3,cKjgal4,A
404,2007,s,3,32m7iNa,D
405,2007,s,3,pQTxXOS,D
406,2007,s,3,gViaBwH,B
407,2007,s,3,V3YkqOE,D
408,2007,s,3,LWelr5W,B
409,2007,s,4,LWtYHH7,D
410,2007,s,4,3DVHD4P,B
411,2007,s,4,zJK1dXb,A
412,2007,s,4,br8YjPV,C
413,2007,s,4,138qZ8z,D
414,2007,s,4,KHMT8xb,D
415,2007,s,4,KGYddox,A
416,2007,s,4,xYwkL0F,A
417,2007,s,4,BiAGTUe,C
418,2007,s,4,lDwYWGH,B
419,2007,s,4,RDtmyn2,D
420,2007,s,4,Gmp9ezU,D
421,2007,s,4,y1LEFMm,B
422,2007,s,4,GvchBAR,B
423,2007,s,4,ByzznU1,D
424,2007,s,4,lZgcsru,A
425,2007,s,4,m5Q4ltH,D
426,2007,s,4,p8vdmKc,D
427,2007,s,4,i4glw8n,A
428,2007,s,4,CudFxKq,C
429,2007,s,4,Y7hri2G,B
430,2007,s,4,ppqloeq,D
431,2007,s,4,OGTqCnP,C
432,2007,s,4,zKZlPDd,D
433,2007,s,4,9j6bZYQ,B
434,2007,s,4,gTF6qUy,D
435,2007,s,4,uXOxI6R,D
436,2007,s,4,NKZB4R2,A
437,2007,s,4,DgEJwDi,B
438,2007,s,5,nlURBzj,B
439,2007,s,5,28hs1MB,B
440,2007,s,5,UAzcuW2,D
441,2007,s,5,BvGItXP,C
442,2007,s,5,xLgjhhW,A
443,2007,s,5,VAiMdMU,D
444,2007,s,5,msaqSBY,C
445,2007,s,5,pbT0gTu,A
446,2007,s,5,mbzoHc4,B
447,2007,s,5,RTFyDYA,D
448,2007,s,5,YjPYTTM,A
449,2007,s,5,5lGtzaF,C
450,2007,s,5,XAj8Vtx,D
451,2007,s,5,7dZih9y,A
452,2007,s,5,u8RKQQa,A
453,2007,s,5,oyleHcm,B
454,2007,s,5,H57NkPx,D
455,2007,s,5,vl6zRDk,C
456,2007,s,5,SoXsb54,A
457,2007,s,5,UJtnzuT,D
458,2007,s,5,57wDhr0,B
459,2007,s,5,f4jjJ5H,B
460,2007,s,5,nx9ZgkP,B
461,2007,s,5,ZJwZlDX,D
462,2007,s,5,VCSra2o,C
463,2007,s,5,yz0m2X7,A
464,2007,s,5,vGJf6PG,C
465,2007,s,5,xzgoB7v,B
466,2007,s,5,ZnFWevr,A
467,2007,s,6,gUSJLkU,C
468,2007,s,6,IfI6VRU,A
469,2007,s,6,5qdXCU0,C
470,2007,s,6,J1QdKAz,B
471,2007,s,6,Wnws8fV,D
472,2007,s,6,kdm2i2z,C
473,2007,s,6,LVnwvFv,B
474,2007,s,6,yKDA5sz,B
475,2007,s,6,Zkikuxp,C
476,2007,s,6,qBfhADI,A
477,2007,s,6,50UL8uZ,C
478,2007,s,6,Pko9fZD,D
479,2007,s,6,pH2AuZr,C
480,2007,s,6,vMTUIN3,B
481,2007,s,6,85rH1tD,B
482,2007,s,6,gQxA1fV,D
483,2007,s,6,7idRyRd,C
484,2007,s,6,UGADsSr,D
485,2007,s,6,CxE9Oow,C
486,2007,s,6,hC4kMff,B
487,2007,s,6,JXc9YUN,A
488,2007,s,6,4fuPf8f,A
489,2007,s,6,ElXbdsS,C
490,2007,s,6,c6yWd9Y,C
491,2007,s,6,DYU8cci,A
492,2007,s,6,YTsI67I,D
493,2007,s,6,LLL86LK,D
494,2007,s,6,srUI5uT,A
495,2007,s,6,a5WWbVK,B
496,2007,s,7,xqQLJl5,C
497,2007,s,7,4lHZngz,D
498,2007,s,7,HAVvAjx,B
499,2007,s,7,0sX06Sn,C
500,2007,s,7,kNgVEQd,D
501,2007,s,7,Jw6UozM,C
502,2007,s,7,J2lH0PH,B
503,2007,s,7,l6HtqKZ,D
504,2007,s,7,LYp2lH6,B
505,2007,s,7,TSATRQf,A
506,2007,s,7,N4t7CPT,B
507,2007,s,7,etheBvp,B
508,2007,s,7,7YhI2d2,C
509,2007,s,7,gHSWQXH,C
510,2007,s,7,p5YGJE4,A
511,2007,s,7,6jP0PyW,B
512,2007,s,7,mIWPgIP,C
513,2007,s,7,81Jj1Xv,D
514,2007,s,7,V6pQ2Ea,A
515,2007,s,7,psZUPdX,C
516,2007,s,7,LhDiBiD,A
517,2007,s,7,vpUGlgF,C
518,2007,s,7,tmxoQT1,D
519,2007,s,7,MhppbBb,B
520,2007,s,7,Db6vBKF,A
521,2007,s,7,SJ5gljN,C
522,2007,s,7,GDuov7Q,A
523,2007,s,7,E4nSAog,C
524,2007,s,7,6KS5YsL,C
525,2007,s,8,JnLWLBv,B
526,2007,s,8,k68PFyk,A
527,2007,s,8,8P8YC12,B
528,2007,s,8,KiCm7IT,C
529,2007,s,8,g0rGVqc,D
530,2007,s,8,0swdd2y,A
531,2007,s,8,K4wMak5,D
532,2007,s,8,T6KUKfz,D
533,2007,s,8,xFDA67E,A
534,2007,s,8,dXOluEx,B
535,2007,s,8,EnjH9MW,D
536,2007,s,8,4BqFW9b,B
537,2007,s,8,UqzIQIN,D
538,2007,s,8,xeA1gxT,A
539,2007,s,8,ZKY4BZu,A
540,2007,s,8,N6MpaSW,B
541,2007,s,8,zvIZsDc,B
542,2007,s,8,hjFd2YU,A
543,2007,s,8,rb8xcCb,C
544,2007,s,8,ALtqa7g,B
545,2007,s,8,jWFTKEw,A
546,2007,s,8,Gw7Iqn4,B
547,2007,s,8,Hu5vHa9,A
548,2007,s,8,R6cJ8h2,B
549,2007,s,8,Oqw24ni,C
550,2007,s,8,LSvwdSt,C
551,2007,s,8,qhYaaTA,A
552,2007,s,8,DQaH6Hp,D
553,2007,s,8,LIfDYNX,A
554,2008,s,10,3lag66b,B
555,2008,s,10,GBmsOoD,C
556,2008,s,10,No83BN9,C
557,2008,s,10,zzuUkfv,B
558,2008,s,10,9yLFOOE,A
559,2008,s,10,WQc91rh,C
560,2008,s,10,ILNIofd,C
561,2008,s,10,g9YkrGE,A
562,2008,s,10,o7C37cj,C
563,2008,s,10,iGxnF9c,C
564,2008,s,10,nnkSc6w,A
565,2008,s,10,PWcUWPY,D
566,2008,s,10,Pc7ewSV,C
567,2008,s,10,u3SDHiE,A
568,2008,s,10,QHFRWM0,A
569,2008,s,10,DQmQwey,D
570,2008,s,10,kV93RZD,A
571,2008,s,10,pSjXlUT,D
572,2008,s,10,YFbGLp6,D
573,2008,s,10,FNRfa0L,B
574,2008,s,10,58ksZmg,D
575,2008,s,10,MS6hWDz,C
576,2008,s,10,hAiewk5,A
577,2008,s,10,rrArDpu,B
578,2008,s,10,RKmtkpH,A
579,2008,s,10,Xb45lYM,C
580,2008,s,10,8HpxA3A,B
581,2008,s,10,Y3BYK54,A
582,2008,s,10,gpjIWKv,B
583,2008,s,10,tNxDJLz,D
584,2008,s,10,plUUd1A,B
585,2008,s,10,ZM5c9Qu,D
586,2008,s,3,PcJJ5Jv,D
587,2008,s,3,sO9KPbF,D
588,2008,s,3,hShWCv3,A
589,2008,s,3,A27BIco,B
590,2008,s,3,DcxaDby,C
591,2008,s,3,k6eiVqg,D
592,2008,s,3,wgBgv6C,B
593,2008,s,3,CqhORVd,D
594,2008,s,3,xIKm94d,D
595,2008,s,3,Nowkp2q,B
596,2008,s,3,8kzeFoV,A
597,2008,s,3,9Oxnxzp,C
598,2008,s,3,wFNFqf2,B
599,2008,s,3,oPvIjYm,B
600,2008,s,3,DolOPmr,D
601,2008,s,3,Jt1t9BS,B
602,2008,s,3,1XP2NyV,C
603,2008,s,3,KdsNPpZ,D
604,2008,s,3,pl6IRkF,C
605,2008,s,3,5efyuMg,A
606,2008,s,3,WgGhRkC,B
607,2008,s,3,WY40YM8,D
608,2008,s,3,S6btF8z,D
609,2008,s,3,xa22Awa,A
610,2008,s,3,QpllvTH,B
611,2008,s,4,3z6tO6F,B
612,2008,s,4,UWNJAxv,A
613,2008,s,4,ipc1gaF,C
614,2008,s,4,Enoaji2,C
615,2008,s,4,ZwDsRbR,B
616,2008,s,4,sWfqMMD,D
617,2008,s,4,Tyzqh36,D
618,2008,s,4,6qAHOjF,C
619,2008,s,4,KtUkyRR,A
620,2008,s,4,JYsY5w5,A
621,2008,s,4,jIIgSOE,B
622,2008,s,4,gHZGqds,A
623,2008,s,4,2oc6CSB,B
624,2008,s,4,lEoBhuD,C
625,2008,s,4,2y2b5Uv,A
626,2008,s,4,QzZMBFX,A
627,2008,s,4,GhN7HmB,D
628,2008,s,4,1WBbGTD,D
629,2008,s,4,ENd48wI,C
630,2008,s,4,9nshPTu,A
631,2008,s,4,MZwI1G1,C
632,2008,s,4,z5OZ0dJ,B
633,2008,s,4,sj57yBl,C
634,2008,s,4,gKseyDf,A
635,2008,s,4,xNM8RtC,B
636,2008,s,4,TahhDak,B
637,2008,s,4,8qdI250,D
638,2008,s,4,dMEYwzd,A
639,2008,s,5,dXod8xo,C
640,2008,s,5,Jxis6xU,D
641,2008,s,5,b8tzbUN,A
642,2008,s,5,v7XV6ih,A
643,2008,s,5,IZ6lCuI,D
644,2008,s,5,lA2SlKS,A
645,2008,s,5,F5j10BK,C
646,2008,s,5,yp3tLal,B
647,2008,s,5,PTiuSMc,A
648,2008,s,5,csl7GK5,C
649,2008,s,5,X6AnysK,D
650,2008,s,5,tEE0E9p,B
651,2008,s,5,0B2Efaq,A
652,2008,s,5,mRZaL7o,A
653,2008,s,5,3T2PigO,D
654,2008,s,5,wD1pvrK,D
655,2008,s,5,IOy9Blw,B
656,2008,s,5,92WBF02,C
657,2008,s,5,4mIDSZ3,C
658,2008,s,5,fObUBW6,B
659,2008,s,5,sTJTkkY,A
660,2008,s,5,f7Msn8I,A
661,2008,s,5,bLAXq1X,C
662,2008,s,5,xXA2SNR,B
663,2008,s,5,sNlhzJ8,A
664,2008,s,5,otHG0nW,A
665,2008,s,5,iPMdzO3,B
666,2008,s,5,y9LoDr4,A
667,2008,s,5,vFLLQRY,A
668,2008,s,6,lOEePly,C
669,2008,s,6,4qkugyE,C
670,2008,s,6,osnM99l,A
671,2008,s,6,7lMMQxU,A
672,2008,s,6,BpfQliR,B
673,2008,s,6,qGQxAMg,D
674,2008,s,6,oUSOE9w,B
675,2008,s,6,knXVFGh,D
676,2008,s,6,hBdLaJL,A
677,2008,s,6,sIbKaWw,C
678,2008,s,6,oNwAQem,B
679,2008,s,6,Ke11bmk,A
680,2008,s,6,ULGfZRF,C
681,2008,s,6,U1rYmq8,B
682,2008,s,6,a8GgtCS,B
683,2008,s,6,CQIX6r1,D
684,2008,s,6,ASvaye4,D
685,2008,s,6,jFcsXpQ,C
686,2008,s,6,oAzO7Od,B
687,2008,s,6,7F8zipq,D
688,2008,s,6,K3vBAa1,A
689,2008,s,6,BEeHtbq,C
690,2008,s,6,7tyR2gm,A
691,2008,s,6,BlTx4zM,A
692,2008,s,6,z6vl103,C
693,2008,s,6,MwD2ivs,D
694,2008,s,6,AojKglo,D
695,2008,s,6,xTpVnLy,C
696,2008,s,6,46xcahm,C
697,2008,s,7,XrK3BwW,B
698,2008,s,7,4VPZZoo,B
699,2008,s,7,KTK1jWa,B
700,2008,s,7,eMjWKCJ,C
701,2008,s,7,EM8OUj2,A
702,2008,s,7,q2JEWfd,A
703,2008,s,7,DlGWFXq,B
704,2008,s,7,ghF9lFq,B
705,2008,s,7,2xmy4i8,B
706,2008,s,7,oXmYrmt,D
707,2008,s,7,rVk6JRQ,B
708,2008,s,7,A9sry51,A
709,2008,s,7,8I9I48r,D
710,2008,s,7,JpFTaos,D
711,2008,s,7,6p7IcCH,C
712,2008,s,7,GQbNPZ9,A
713,2008,s,7,oruuQFo,A
714,2008,s,7,Sd2ky00,D
715,2008,s,7,OV9cJ04,B
716,2008,s,7,RNxCXxn,C
717,2008,s,7,3Bsddxv,C
718,2008,s,7,gWvL2rN,B
719,2008,s,7,QkR3Som,D
720,2008,s,7,FsVlT1W,A
721,2008,s,7,DZQ7C6Q,C
722,2008,s,7,H1eWqGC,A
723,2008,s,7,dUDyLQw,C
724,2008,s,7,pPUjxka,C
725,2008,s,7,zAGsjX6,B
726,2008,s,8,hxr1IeN,C
727,2008,s,8,MubEovA,C
728,2008,s,8,Fxa6QLI,B
729,2008,s,8,3ZeqpjR,D
730,2008,s,8,Ssag3U2,A
731,2008,s,8,i9BJK18,B
732,2008,s,8,d8ITW1Q,B
733,2008,s,8,CBuPGIn,B
734,2008,s,8,CsNbLDf,C
735,2008,s,8,nPlTOSt,B
736,2008,s,8,Xe3gcHI,D
737,2008,s,8,0AJbuWE,C
738,2008,s,8,J8dkIkn,A
739,2008,s,8,1rPnwLV,D
740,2008,s,8,QnPAeR9,D
741,2008,s,8,eqpjRwE,B
742,2008,s,8,wyCzVsu,A
